Timestamp, RF13, RF12, RF11, RF10, MF9, MF8, MF7, MF6, MF5, FF4, FF3, FF2, FF1

17162069770000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069770100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069780000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069780100,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069790000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069790100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069800000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069800100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069810000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069810100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069820000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069820100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069830000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069830100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069840000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069840100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069850000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069850100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069860000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069860100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069870000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069870100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069880000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069880100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069890000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069890100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069900000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069900100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162069910000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069910100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069920000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162069920100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069930000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069930100,1,5,3,1,49,22,1,1,1,1,1,1,1
17162069940000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069940100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069950000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069950100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069960000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069960100,1,5,3,1,48,19,1,1,1,1,1,1,1
17162069970000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069970100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069980000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069980100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069990000,1,5,3,1,49,20,1,1,1,1,1,1,1
17162069990100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070000000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070010000,1,5,3,1,50,19,1,1,1,1,1,1,1
17162070010100,1,5,3,1,50,19,1,1,1,1,1,1,1
17162070020000,1,5,3,1,50,19,1,1,1,1,1,1,1
17162070020100,1,5,3,1,50,19,1,1,1,1,1,1,1
17162070030000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070030100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070040000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070040100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070050000,1,5,3,1,50,19,1,1,1,1,1,1,1
17162070050100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070060000,1,5,3,1,49,19,1,1,1,1,1,1,1
17162070060100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070070000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070070100,1,5,3,1,49,19,1,1,1,1,1,1,1
17162070080000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070080100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070090000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070090100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070100000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070100100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070110000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070110100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070120000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070120100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070130000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070130100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070140000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070140100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162070150000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070150100,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070160000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070160100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162070170000,1,5,3,1,50,20,1,1,1,1,1,1,1
17162070170100,1,5,3,1,49,20,1,1,1,1,1,1,1
17162070180000,1,5,3,1,50,20,1,1,1,1,1,1,1
