Timestamp, RF13, RF12, RF11, RF10, MF9, MF8, MF7, MF6, MF5, FF4, FF3, FF2, FF1

17162073830000,1,1,3,1,80,60,16,9,1,36,5,1,2
17162073840000,1,1,1,1,39,22,4,2,1,5,2,1,1
17162073840100,1,1,2,1,75,46,8,3,1,21,3,1,1
17162073850000,1,1,1,1,94,59,12,3,1,70,4,1,1
17162073850100,1,1,1,1,19,4,6,3,1,2,2,1,1
17162073860000,1,12,48,7,25,24,4,6,1,1,1,1,1
17162073860100,39,99,152,41,64,63,7,10,1,1,1,1,1
17162073870000,1,1,14,1,50,54,19,29,1,4,2,1,2
17162073870100,1,1,1,1,6,1,1,1,1,1,1,1,1
17162073880000,5,76,92,1,79,49,2,1,1,2,1,1,1
17162073880100,1,102,142,1,132,92,15,9,1,18,2,1,1
17162073890000,1,59,83,1,131,89,15,7,1,23,2,1,1
17162073890100,1,5,4,1,136,76,12,1,1,74,5,1,1
17162073900000,1,1,4,1,54,23,2,1,1,37,7,18,1
17162073900100,1,1,1,1,97,27,1,1,1,130,11,1,1
17162073910000,1,1,1,1,142,36,2,1,1,176,6,1,1
17162073910100,1,4,1,1,154,43,3,1,1,87,3,1,1
17162073920000,10,106,124,1,111,56,4,1,1,3,1,1,1
17162073920100,1,5,26,1,94,64,22,15,1,23,3,1,1
17162073930000,1,1,1,1,4,1,1,1,1,1,1,1,1
17162073930100,4,4,5,1,8,2,1,1,1,1,1,1,1
17162073940000,1,1,2,1,155,102,50,34,1,185,9,19,2
17162073940100,1,1,1,1,7,1,1,1,1,1,1,1,1
17162073950000,3,86,104,1,86,54,2,1,1,2,1,1,1
17162073950100,1,1,1,1,169,89,44,11,1,342,21,54,1
17162073960000,1,1,1,1,6,1,1,1,1,1,1,1,1
17162073960100,3,48,37,1,64,18,1,1,1,1,1,1,1
17162073970000,25,125,191,20,96,58,4,1,1,2,1,1,1
17162073970100,1,1,1,1,9,1,1,1,1,1,1,1,1
17162073980000,1,1,1,1,7,1,1,1,1,1,1,1,1
17162073980100,1,59,169,36,104,76,25,34,1,12,2,1,1
17162073990000,74,94,191,86,21,15,2,4,1,1,1,1,1
17162073990100,115,68,154,71,15,12,1,1,1,1,1,1,1
17162074000000,5,1,13,1,3,1,1,1,1,1,1,1,1
17162074000100,59,3,36,4,3,1,1,1,1,1,1,1,1
17162074010000,89,25,95,26,3,1,1,1,1,1,1,1,1
17162074010100,17,9,105,89,4,1,1,16,1,1,1,1,1
17162074020000,1,1,1,1,3,1,1,1,1,1,1,1,1
17162074020100,1,1,1,1,6,1,1,1,1,1,1,1,1
17162074030000,1,117,38,1,147,86,10,9,1,2,1,1,1
17162074030100,1,1,1,1,195,53,2,1,1,21,3,1,1
17162074040000,1,1,1,1,10,1,1,1,1,1,1,1,1
17162074040100,1,5,14,1,134,92,36,33,1,66,9,1,4
17162074050000,1,1,1,1,8,1,1,1,1,1,1,1,1
17162074050100,1,1,4,1,6,1,1,1,1,1,1,1,1
17162074060000,1,6,9,1,147,115,39,46,1,36,5,1,15
17162074060100,1,1,1,1,73,17,1,1,1,2,1,1,1
17162074070000,2,2,3,1,11,8,1,1,1,1,1,1,1
17162074070100,1,4,16,1,141,98,36,37,1,70,9,2,9
17162074080000,1,1,1,1,5,1,1,1,1,1,1,1,1
17162074080100,1,1,1,1,8,1,1,1,1,1,1,1,1
17162074090000,1,95,89,1,167,112,19,16,1,21,3,1,1
17162074090100,1,1,1,1,327,103,5,1,1,442,70,16,2
17162074100000,1,1,1,1,13,2,1,1,1,1,1,1,1
17162074100100,1,82,129,1,148,89,13,10,1,19,2,1,1
17162074110000,1,1,1,1,47,11,1,1,1,4,2,1,1
17162074110100,1,1,1,1,11,1,1,1,1,1,1,1,1
17162074120000,1,1,1,1,158,69,25,5,1,327,43,47,4
17162074120100,1,1,1,1,8,1,1,1,1,1,1,1,1
17162074130000,3,100,167,24,82,66,3,7,1,2,1,1,2
17162074130100,1,1,1,1,144,74,26,8,1,279,35,73,14
17162074140000,1,1,1,1,10,2,1,1,1,1,1,1,1
17162074140100,1,58,130,1,179,80,20,9,1,46,2,1,1
17162074150000,1,1,1,1,7,1,2,1,1,2,3,1,1
17162074150100,1,1,2,1,8,1,1,1,1,1,1,1,1
17162074160000,2,89,145,5,97,79,22,29,1,2,1,1,1
17162074160100,1,1,1,1,11,4,3,2,1,1,1,1,1
17162074170000,1,1,1,1,8,1,1,1,1,1,1,1,1
17162074170100,1,54,24,1,249,116,21,5,1,80,2,1,1
17162074180000,1,1,1,1,9,1,1,1,1,1,1,1,1
17162074180100,6,10,13,1,16,4,1,1,1,1,1,1,1
17162074190000,1,113,173,11,114,89,19,26,1,4,1,1,1
17162074190100,1,1,1,1,11,3,1,1,1,1,1,1,1
17162074200000,1,2,12,1,26,18,5,7,1,1,1,1,1
17162074200100,3,131,185,15,97,84,16,31,1,2,1,1,1
17162074210000,1,71,103,1,126,97,30,41,1,7,2,1,1
17162074210100,1,63,88,1,124,95,27,36,1,7,2,1,1
17162074220000,9,126,132,3,103,59,4,4,1,1,1,1,1
17162074220100,18,130,162,22,74,57,6,9,1,1,1,1,1
17162074230000,36,136,185,43,63,55,7,13,1,1,1,1,1
17162074230100,1,1,7,1,22,11,1,1,1,1,1,1,1
17162074240000,1,1,4,1,9,3,1,1,1,1,1,1,1
17162074240100,2,15,16,1,20,10,1,1,1,1,1,1,1
17162074250000,1,13,18,1,27,15,1,1,1,1,1,1,1
