Timestamp, RF13, RF12, RF11, RF10, MF9, MF8, MF7, MF6, MF5, FF4, FF3, FF2, FF1

17159636930100,4,59,90,14,52,38,2,4,1,1,1,1,1
17159636940000,48,80,109,34,37,21,1,1,1,1,1,1,1
17159636940100,63,94,129,55,43,29,2,4,1,1,1,1,1
17159636950000,15,137,197,65,111,81,14,30,1,1,1,1,1
17159636950100,1,38,91,1,199,134,64,66,1,23,2,4,1
17159636960000,1,1,1,1,10,1,1,1,1,1,1,1,1
17159636960100,8,59,106,32,41,32,1,2,1,1,1,1,1
17159636970000,1,126,196,43,138,102,26,35,1,3,1,1,1
17159636970100,1,1,2,1,63,37,8,2,1,7,2,1,1
17159636980000,1,1,1,1,13,3,1,1,1,1,1,1,1
17159636980100,1,11,23,1,117,69,14,11,1,12,2,1,1
17159636990000,1,10,26,1,114,73,20,21,1,13,2,1,1
17159636990100,1,82,117,3,129,75,12,11,1,3,1,1,1
17159637000000,1,71,115,1,174,101,30,25,1,17,2,1,1
17159637000100,1,50,97,1,180,106,38,30,1,28,3,1,1
17159637010000,1,105,152,18,144,83,20,21,1,3,2,1,1
17159637010100,22,110,157,50,85,58,6,10,1,1,1,1,1
17159637020000,15,130,175,52,116,70,7,12,1,2,1,1,1
17159637020100,1,87,125,8,175,113,41,46,1,19,2,2,1
17159637030000,1,1,2,1,45,32,15,10,1,10,2,14,2
17159637030100,1,6,2,1,26,12,1,1,1,1,1,1,1
17159637040000,1,40,130,39,137,84,59,49,1,9,2,5,1
17159637040100,1,1,1,1,7,2,1,1,1,1,1,1,1
17159637050000,38,111,172,60,59,57,3,26,1,1,1,1,13
17159637050100,1,2,2,1,65,12,1,1,1,1,1,1,1
17159637060000,60,61,72,8,24,8,1,1,1,1,1,1,1
17159637060100,67,122,164,35,90,48,32,40,1,1,1,1,1
17159637070000,12,95,166,37,87,56,59,70,1,1,2,9,1
17159637070100,155,66,155,85,13,15,26,52,1,1,1,1,1
17159637080000,1,1,1,1,5,1,1,1,1,1,1,1,1
17159637080100,1,3,7,1,32,23,3,17,1,1,1,1,2
17159637090000,1,1,1,1,9,2,1,1,1,1,1,1,1
17159637090100,36,30,31,1,20,15,1,2,1,1,1,1,1
17159637100000,27,137,169,33,134,75,13,25,1,1,1,1,1
17159637100100,1,1,1,1,30,4,1,1,1,1,1,1,1
17159637110000,15,10,3,1,9,1,1,1,1,1,1,1,1
17159637110100,1,1,1,1,265,116,61,17,1,355,13,125,3
17159637120000,1,1,1,1,13,3,1,1,1,1,1,1,1
17159637120100,1,2,6,1,163,90,42,23,1,179,7,10,2
17159637130000,1,1,1,1,9,1,1,1,1,1,1,1,1
17159637130100,1,49,100,1,169,117,32,38,1,23,2,1,2
17159637140000,1,1,1,1,10,1,1,1,1,1,1,1,1
17159637140100,32,145,173,40,94,55,1,4,1,1,1,1,1
17159637150000,1,1,1,1,118,46,20,7,1,349,35,117,1
17159637150100,1,2,1,1,13,2,1,1,1,1,1,1,1
17159637160000,1,1,1,1,271,92,34,5,1,464,38,195,9
17159637160100,1,1,1,1,14,3,1,1,1,1,1,1,1
17159637170000,1,2,1,1,263,105,28,3,1,298,12,13,2
17159637170100,1,1,1,1,13,2,1,1,1,1,1,1,1
17159637180000,1,20,4,1,248,118,23,11,1,84,2,1,1
17159637180100,1,1,1,1,10,1,1,1,1,1,1,1,1
17159637190000,12,189,206,22,149,88,7,11,1,2,1,1,1
