Timestamp, RF13, RF10, RF11, RF12, MF5, MF6, MF7, MF8, MF9, FF1, FF2, FF3, FF4
17159636670100,1,107,1,31,1,108,16,49,48,1,1,1,1
17159636680000,1,1,1,1,1,61,63,82,131,3,3,1,1
17159636680100,1,1,1,1,1,1,1,1,8,1,1,1,1
17159636690000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636690100,1,51,1,37,1,36,8,60,94,1,1,1,1
17159636700000,1,1,1,1,1,7,38,66,157,1,5,1,4
17159636700100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636710000,3,49,1,32,1,1,1,1,14,1,1,1,1
17159636710100,2,7,1,143,1,1,1,59,163,1,1,1,1
17159636720000,1,1,1,1,1,1,1,50,324,1,1,1,28
17159636720100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636730000,3,87,1,70,1,1,1,8,58,1,1,1,1
17159636730100,1,38,1,45,1,2,1,33,105,1,1,1,2
17159636740000,1,8,1,6,1,1,1,4,45,1,1,1,1
17159636740100,1,1,1,1,1,1,1,5,65,1,1,1,1
17159636750000,1,1,1,1,1,1,1,1,6,1,1,1,1
17159636750100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636760000,1,65,1,61,1,1,1,14,64,1,1,1,1
17159636760100,1,83,1,95,1,4,2,48,121,1,2,1,3
17159636770000,1,2,1,7,1,1,1,14,88,1,1,1,3
17159636770100,1,1,1,1,1,1,1,1,16,1,1,1,2
17159636780000,1,2,1,2,1,1,1,1,13,1,1,1,1
17159636780100,1,45,1,39,1,1,1,19,78,1,1,1,1
17159636790000,1,81,1,70,1,2,1,25,91,1,1,1,1
17159636790100,1,23,1,16,1,18,5,37,92,1,3,1,2
17159636800000,1,56,1,39,1,10,3,37,92,1,2,1,1
17159636800100,1,83,1,54,1,11,2,40,95,1,1,1,1
17159636810000,6,125,1,80,1,2,1,19,74,1,1,1,1
17159636810100,1,120,1,84,1,8,2,33,101,1,1,1,1
17159636820000,1,97,1,43,1,31,7,41,101,1,2,1,1
17159636820100,1,1,1,1,1,1,1,1,1,1,2,1,1
17159636830000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636830100,12,66,1,63,1,1,1,2,28,1,1,1,1
17159636840000,60,111,1,112,1,1,1,1,19,1,1,1,1
17159636840100,1,1,1,16,1,1,1,17,107,1,1,1,3
17159636850000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159636850100,24,134,1,89,1,1,1,4,43,1,1,1,1
17159636860000,58,130,1,100,1,1,1,1,6,1,1,1,1
17159636860100,69,157,1,91,1,1,1,1,6,1,1,1,1
17159636870000,15,137,1,36,1,1,1,4,10,1,1,1,1
17159636870100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636880000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636880100,23,44,1,101,1,1,1,9,86,1,1,1,1
17159636890000,56,117,1,106,1,1,1,3,44,1,1,1,1
17159636890100,12,73,1,2,1,1,1,1,1,1,1,1,1
17159636900000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636900100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636910000,3,87,1,50,1,2,2,15,42,1,1,1,1
17159636910100,2,126,1,80,1,6,6,29,82,1,1,1,1
17159636920000,1,1,1,1,1,1,1,1,3,1,1,1,1
17159636920100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636930000,1,1,1,2,1,1,1,1,9,1,1,1,1
17159636930100,1,21,1,8,1,1,1,2,29,1,1,1,1
17159636940000,6,140,1,76,1,3,3,18,57,1,1,1,1
17159636940100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636950000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636950100,3,1,1,10,1,1,1,1,9,1,1,1,1
17159636960000,26,35,1,109,1,1,1,11,76,1,1,1,1
17159636960100,16,99,1,122,1,1,1,29,102,1,1,1,1
17159636970000,1,76,1,43,1,1,1,9,57,1,1,1,1
17159636970100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159636980000,1,3,1,1,1,1,1,1,1,1,1,1,1
17159636980100,1,57,1,42,1,1,1,7,44,1,1,1,1
17159636990000,29,115,1,109,1,1,1,13,67,1,1,1,1
17159636990100,35,111,1,106,1,1,1,9,68,1,1,1,1
17159637000000,1,5,1,5,1,1,1,3,34,1,1,1,1
17159637000100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637010000,1,1,1,1,1,1,1,1,9,1,1,1,1
17159637010100,1,2,1,3,1,1,1,1,19,1,1,1,1
17159637020000,1,8,1,6,1,1,1,3,27,1,1,1,1
17159637020100,1,5,1,5,1,1,1,3,27,1,1,1,1
17159637030000,1,1,1,1,1,1,1,1,4,1,1,1,1
17159637030100,1,4,1,4,1,1,1,1,12,1,1,1,1
17159637040000,26,139,1,93,1,1,1,10,61,1,1,1,1
17159637040100,29,160,1,76,1,2,1,11,33,1,1,1,1
17159637050000,11,111,1,2,1,1,1,1,1,1,1,1,1
17159637050100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637060000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637060100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637070000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637070100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637080000,1,1,1,1,1,1,1,1,1,2,1,1,1
17159637080100,1,1,1,1,1,1,1,1,1,2,1,1,1
17159637090000,1,1,1,1,1,1,1,1,1,3,1,1,1
17159637090100,1,1,1,1,1,1,1,1,1,4,1,1,1
17159637100000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637100100,1,12,1,5,1,1,1,1,3,1,1,1,1
17159637110000,20,138,1,85,1,2,1,10,23,1,1,1,1
17159637110100,1,1,1,1,1,1,1,1,19,1,2,1,2
17159637120000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637120100,1,41,1,72,1,5,3,43,101,1,1,1,2
17159637130000,1,1,1,1,1,1,2,4,43,1,11,1,13
17159637130100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637140000,18,44,1,49,1,1,1,1,17,1,1,1,1
17159637140100,1,1,1,25,1,1,1,96,199,1,1,1,13
17159637150000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637150100,1,52,1,14,1,1,1,7,59,1,1,1,1
17159637160000,1,12,1,3,1,2,1,7,40,1,1,1,1
17159637160100,1,6,1,5,1,1,1,3,37,1,1,1,1
17159637170000,41,153,1,56,1,1,1,3,9,1,1,1,1
17159637170100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637180000,1,2,1,2,1,1,1,1,5,1,1,1,1
17159637180100,14,34,1,13,1,1,1,1,6,1,1,1,1
17159637190000,12,27,1,11,1,1,1,1,6,1,1,1,1
17159637190100,7,30,1,11,1,1,1,1,7,1,1,1,1
17159637200000,1,36,1,18,1,1,1,1,13,1,1,1,1
17159637200100,1,24,1,18,1,1,1,5,30,1,1,1,1
17159637210000,1,26,1,16,1,1,1,3,29,1,1,1,1
17159637210100,1,28,1,23,1,1,1,3,32,1,1,1,1
17159637220000,1,28,1,28,1,1,1,3,36,1,1,1,1
17159637220100,1,31,1,31,1,1,1,4,40,1,1,1,1
17159637230000,1,28,1,31,1,1,1,5,47,1,1,1,1
17159637230100,1,16,1,22,1,1,1,6,47,1,1,1,1
17159637240000,1,10,1,13,1,1,1,4,42,1,1,1,1
17159637240100,1,7,1,9,1,1,1,3,36,1,1,1,1
17159637250000,1,3,1,5,1,1,1,3,35,1,1,1,1
17159637250100,1,1,1,1,1,1,1,1,15,1,1,1,1
17159637260000,1,1,1,1,1,1,1,1,10,1,1,1,1
17159637260100,1,45,1,46,1,1,1,9,67,1,1,1,1
17159637270000,17,94,1,100,1,1,1,15,87,1,1,1,1
17159637270100,3,81,1,58,1,1,1,11,62,1,1,1,1
17159637280000,1,48,1,25,1,1,1,2,33,1,1,1,1
17159637280100,1,33,1,15,1,1,1,1,17,1,1,1,1
17159637290000,1,25,1,15,1,1,1,1,23,1,1,1,1
17159637290100,1,22,1,17,1,1,1,3,33,1,1,1,1
17159637300000,1,21,1,13,1,1,1,1,26,1,1,1,1
17159637300100,1,18,1,9,1,1,1,1,19,1,1,1,1
17159637310000,1,15,1,9,1,1,1,1,22,1,1,1,1
17159637310100,1,14,1,10,1,1,1,1,27,1,1,1,1
17159637320000,1,14,1,12,1,1,1,2,29,1,1,1,1
17159637320100,1,15,1,15,1,1,1,2,32,1,1,1,1
17159637330000,1,18,1,17,1,1,1,2,35,1,1,1,1
17159637330100,1,19,1,19,1,1,1,3,40,1,1,1,1
17159637340000,1,18,1,17,1,1,1,3,39,1,1,1,1
17159637340100,1,12,1,12,1,1,1,3,37,1,1,1,1
17159637350000,1,7,1,8,1,1,1,2,36,1,1,1,1
17159637350100,1,5,1,7,1,1,1,3,38,1,1,1,1
17159637360000,1,3,1,6,1,1,1,3,42,1,1,1,1
