17159431180000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431180100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431190000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431210000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431210100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431220000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431220100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431230000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431230100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431240000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431240100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431250000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431250100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431260000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431260100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431270000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431270100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431280000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431880000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431890000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431890100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431900000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431900100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431910000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431910100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431920000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431920100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431930000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431930100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431940000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431940100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431950000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431950100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431960000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431960100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431970000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159431970100,1,1,1,1,1,1,1,1,1,1,1,1,1
