Timestamp, RF13, RF10, RF11, RF12, MF5, MF6, MF7, MF8, MF9, FF1, FF2, FF3, FF4

17162074410000,1,6,1,1,1,1,1,1,3,1,1,1,1
17162074410100,1,14,1,3,1,17,2,23,53,1,10,1,1
17162074420000,1,25,1,4,1,11,1,13,35,1,5,1,1
17162074420100,1,16,1,4,1,2,1,10,30,1,2,1,1
17162074430000,1,25,1,36,1,2,1,31,98,1,1,1,1
17162074430100,2,12,1,55,1,1,1,29,114,1,1,1,1
17162074440000,1,1,1,1,1,1,1,1,4,1,1,1,1
17162074440100,1,26,1,15,1,1,1,5,13,1,1,1,1
17162074450000,1,9,1,71,1,7,4,81,128,1,1,1,1
17162074450100,1,1,1,1,1,1,1,3,83,1,1,1,6
17162074460000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074460100,1,1,1,1,1,1,1,2,12,1,1,1,1
17162074470000,1,1,1,2,1,1,1,7,33,1,1,1,1
17162074470100,1,1,1,1,1,1,1,4,10,1,7,1,1
17162074480000,1,1,1,1,1,1,1,13,79,1,5,1,13
17162074480100,1,1,1,1,1,1,1,10,81,1,4,1,11
17162074490000,1,1,1,1,1,1,1,6,81,1,2,1,8
17162074490100,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074500000,1,3,1,7,1,1,1,1,10,1,1,1,1
17162074500100,15,69,1,63,1,8,1,24,49,1,1,1,1
17162074510000,1,1,1,1,1,4,11,47,164,1,9,1,15
17162074510100,1,1,1,1,1,1,1,1,2,1,1,1,1
17162074520000,1,24,1,67,1,2,1,67,95,1,1,1,1
17162074520100,1,1,1,1,1,1,1,3,51,1,1,1,4
17162074530000,1,1,1,1,1,1,1,1,3,1,1,1,1
17162074530100,1,15,1,64,1,3,1,70,101,1,1,1,1
17162074540000,1,1,1,1,1,1,1,21,115,1,2,1,11
17162074540100,1,1,1,1,1,1,1,1,2,1,1,1,1
17162074550000,9,57,1,91,1,1,1,40,116,1,1,1,1
17162074550100,1,1,1,2,1,5,12,73,172,1,5,1,26
17162074560000,1,1,1,1,1,1,1,1,2,1,1,1,1
17162074560100,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074570000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074570100,6,3,1,15,1,1,1,8,20,1,11,1,58
17162074580000,3,1,1,24,1,1,1,2,16,1,1,1,1
17162074580100,43,1,1,45,1,1,1,1,2,1,1,1,1
17162074590000,19,23,1,37,1,1,1,1,6,1,1,1,1
17162074590100,54,22,1,70,1,1,1,1,8,1,1,1,1
17162074600000,1,1,1,17,1,1,4,62,106,1,4,1,28
17162074600100,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074610000,4,19,1,53,1,1,1,15,59,1,1,1,1
17162074610100,1,1,1,1,1,1,16,82,218,1,6,2,22
17162074620000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074620100,1,3,1,34,1,9,4,109,157,1,1,1,2
17162074630000,1,1,1,1,1,1,1,24,138,1,17,1,45
17162074630100,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074640000,19,52,1,64,1,1,1,8,46,1,1,1,1
17162074640100,1,1,1,1,1,1,2,7,59,1,19,1,23
17162074650000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074650100,1,10,1,1,1,2,1,27,47,1,18,1,20
17162074660000,1,7,1,1,1,1,1,8,38,1,24,1,25
17162074660100,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074670000,1,1,1,1,1,1,1,1,3,1,1,1,1
17162074670100,1,1,1,2,1,2,4,91,151,1,6,1,16
17162074680000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074680100,3,84,1,28,1,1,1,10,26,1,1,1,1
17162074690000,1,1,1,1,1,1,1,44,187,1,20,1,33
17162074690100,1,1,1,1,1,1,1,1,2,1,1,1,1
17162074700000,1,1,1,4,1,1,2,90,175,1,5,1,15
17162074700100,1,1,1,1,1,1,1,1,11,1,1,1,1
17162074710000,2,24,1,5,1,1,1,1,3,1,1,1,1
17162074710100,1,1,1,1,1,6,7,76,143,1,13,1,25
17162074720000,1,1,1,1,1,1,1,1,1,1,1,1,1
17162074720100,1,1,1,27,1,1,1,28,89,1,1,1,1
17162074730000,14,15,1,98,1,1,1,47,146,1,1,1,1
17162074730100,1,1,1,1,1,1,1,1,7,1,1,1,1
17162074740000,1,29,1,37,1,1,1,37,92,1,1,1,3
17162074740100,1,1,1,1,1,1,1,7,71,1,27,1,50
