Timestamp, RF13, RF10, RF11, RF12, MF5, MF6, MF7, MF8, MF9, FF1, FF2, FF3, FF4

17159637480000,1,16,1,13,1,1,1,9,69,1,1,1,1
17159637480100,1,8,1,7,1,1,1,3,53,1,1,1,1
17159637490000,1,1,1,1,1,1,1,1,36,1,1,1,1
17159637490100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637500000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637500100,1,79,1,97,1,1,1,35,107,1,1,1,2
17159637510000,1,1,1,1,1,1,1,1,10,1,3,1,3
17159637510100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637520000,1,68,1,43,1,1,1,15,81,1,1,1,1
17159637520100,1,26,1,30,1,13,7,64,137,1,3,1,8
17159637530000,1,1,1,1,1,1,1,5,51,1,4,1,3
17159637530100,1,1,1,1,1,1,1,5,29,1,5,1,3
17159637540000,1,1,1,1,1,1,1,1,16,1,3,1,2
17159637540100,1,1,1,1,1,1,1,1,2,1,3,1,1
17159637550000,1,1,1,1,1,1,1,1,1,1,5,1,1
17159637550100,1,1,1,1,1,1,1,1,1,1,5,1,1
17159637560000,1,1,1,1,1,1,1,1,1,1,6,1,1
17159637560100,1,1,1,1,1,1,1,1,1,1,3,1,1
17159637570000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637570100,1,69,1,36,1,1,1,9,58,1,1,1,1
17159637580000,1,37,1,51,1,1,1,19,86,1,1,1,1
17159637580100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637590000,1,9,1,73,1,3,9,65,143,1,1,1,8
17159637590100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637600000,1,2,1,3,1,4,17,34,109,1,3,1,17
17159637610000,1,1,1,1,1,3,1,1,1,1,3,1,1
17159637610100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637620000,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637620100,1,1,1,1,1,1,1,1,1,1,1,1,1
17159637630000,1,6,1,17,1,63,32,56,91,1,3,1,2
17159637630100,1,19,1,27,1,3,7,26,70,1,1,1,1
17159637640000,1,132,1,19,1,72,70,45,54,1,3,1,1
17159637640100,1,1,1,1,1,1,2,3,84,1,4,4,24
17159637650000,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637650100,7,169,1,94,1,1,1,21,69,1,1,1,1
17159637660000,1,1,1,1,1,1,2,1,36,1,11,6,22
17159637660100,1,1,1,1,1,1,1,1,3,1,1,1,1
17159637670000,1,1,1,1,1,1,12,71,203,1,4,1,25
17159637670100,1,1,1,1,1,1,1,1,3,1,1,1,1
17159637680000,1,1,1,2,1,1,1,66,191,1,3,1,23
17159637680100,1,1,1,1,1,1,1,1,2,1,1,1,1
17159637690000,1,3,1,21,1,1,1,83,140,1,1,1,2
17159637690100,1,1,1,1,1,1,1,1,3,1,1,1,1
